52.1,1490617800.0
52.11,1490618700.0
52.11,1490619600.0
52.11,1490620500.0
52.1,1490621400.0
52.1,1490622300.0
52.1,1490623200.0
52.1,1490624100.0
52.09,1490625000.0
52.1,1490625900.0
52.09,1490626800.0
52.09,1490627700.0
52.09,1490628600.0
52.08,1490629500.0
52.08,1490630400.0
52.08,1490631300.0
52.06,1490632200.0
52.05,1490633100.0
52.05,1490634000.0
52.04,1490634900.0
52.02,1490635800.0
52.0,1490636700.0
51.99,1490637600.0
51.97,1490638500.0
51.9,1490639400.0
51.83,1490640300.0
51.69,1490641200.0
51.69,1490642100.0
51.65,1490643000.0
51.66,1490643900.0
51.65,1490644800.0
51.64,1490645700.0
51.67,1490646600.0
51.7,1490647500.0
51.69,1490648400.0
51.7,1490649300.0
51.69,1490650200.0
51.7,1490651100.0
51.71,1490652000.0
51.73,1490652900.0
51.75,1490653800.0
51.78,1490654700.0
51.8,1490655600.0
51.81,1490656500.0
51.83,1490657400.0
51.85,1490658300.0
51.87,1490659200.0
51.88,1490660100.0
51.9,1490661000.0
51.91,1490661900.0
51.92,1490662800.0
51.93,1490663700.0
51.94,1490664600.0
51.95,1490665500.0
51.96,1490666400.0
51.96,1490667300.0
51.97,1490668200.0
51.97,1490669100.0
51.97,1490670000.0
51.97,1490670900.0
51.98,1490671800.0
51.98,1490672700.0
51.98,1490673600.0
51.98,1490674500.0
51.98,1490675400.0
51.98,1490676300.0
51.98,1490677200.0
51.98,1490678100.0
51.97,1490679000.0
51.97,1490679900.0
51.97,1490680800.0
51.97,1490681700.0
51.97,1490682600.0
51.97,1490683500.0
51.96,1490684400.0
51.97,1490685300.0
51.97,1490686200.0
51.96,1490687100.0
51.96,1490688000.0
51.96,1490688900.0
51.96,1490689800.0
51.96,1490690700.0
51.95,1490691600.0
51.95,1490692500.0
51.95,1490693400.0
51.94,1490694300.0
51.93,1490695200.0
51.93,1490696100.0
51.92,1490697000.0
51.92,1490697900.0
51.92,1490698800.0
51.92,1490699700.0
51.91,1490700600.0
51.9,1490701500.0
51.9,1490702400.0
51.89,1490703300.0
51.89,1490704200.0
51.88,1490705100.0
51.87,1490706000.0
51.88,1490706900.0
51.87,1490707800.0
51.86,1490708700.0
51.86,1490709600.0
51.85,1490710500.0
51.84,1490711400.0
51.83,1490712300.0
51.82,1490713200.0
51.82,1490714100.0
51.82,1490715000.0
51.8,1490715900.0
51.79,1490716800.0
51.8,1490717700.0
51.79,1490718600.0
51.79,1490719500.0
51.79,1490720400.0
51.8,1490721300.0
51.8,1490722200.0
51.77,1490723100.0
51.79,1490724000.0
51.8,1490724900.0
51.8,1490725800.0
51.79,1490726700.0
51.8,1490727600.0
51.8,1490728500.0
51.81,1490729400.0
51.82,1490730300.0
51.81,1490731200.0
51.86,1490732100.0
51.87,1490733000.0
51.91,1490733900.0
51.92,1490734800.0
51.93,1490735700.0
51.94,1490736600.0
51.95,1490737500.0
51.94,1490738400.0
51.96,1490739300.0
51.97,1490740200.0
51.97,1490741100.0
51.97,1490742000.0
51.97,1490742900.0
51.97,1490743800.0
51.96,1490744700.0
51.96,1490745600.0
51.96,1490746500.0
51.95,1490747400.0
51.96,1490748300.0
51.95,1490749200.0
51.95,1490750100.0
51.95,1490751000.0
51.95,1490751900.0
51.95,1490752800.0
51.94,1490753700.0
51.94,1490754600.0
