time (epoch),weight (kg)
1414281600.0,47.86
1414282500.0,47.86
1414283400.0,47.85
1414284300.0,47.85
1414285200.0,47.85
1414286100.0,47.84
1414287000.0,47.83
1414287900.0,47.84
1414288800.0,47.84
1414289700.0,47.83
1414290600.0,47.83
1414291500.0,47.81
1414292400.0,47.82
1414293300.0,47.82
1414294200.0,47.81
1414295100.0,47.82
1414296000.0,47.82
1414296900.0,47.81
1414297800.0,47.81
1414298700.0,47.81
1414299600.0,47.81
1414300500.0,47.8
1414301400.0,47.8
1414302300.0,47.81
1414277100.0,47.88
1414278000.0,47.87
1414278900.0,47.87
1414279800.0,47.86
1414280700.0,47.85
1414303200.0,47.8
1414304100.0,47.8
1414305000.0,47.8
1414305900.0,47.8
1414306800.0,47.8
1414307700.0,47.8
1414308600.0,47.8
1414309500.0,47.8
1414310400.0,47.8
1414311300.0,47.8
1414312200.0,47.8
1414313100.0,47.8
1414314000.0,47.8
1414314900.0,47.8
1414315800.0,47.8
1414316700.0,47.79
1414317600.0,47.79
1414318500.0,47.8
1414319400.0,47.8
1414320300.0,47.79
1414321200.0,47.79
1414322100.0,47.79
1414323000.0,47.79
1414323900.0,47.79
1414324800.0,47.79
1414325700.0,47.79
1414326600.0,47.79
1414327500.0,47.79
1414328400.0,47.79
1414329300.0,47.79
1414330200.0,47.79
1414331100.0,47.79
1414332000.0,47.79
1414332900.0,47.79
1414333800.0,47.79
1414334700.0,47.78
1414335600.0,47.76
1414336500.0,47.75
1414337400.0,47.73
1414338300.0,47.71
1414339200.0,47.69
1414340100.0,47.69
1414341000.0,47.67
1414341900.0,47.66
1414342800.0,47.66
1414343700.0,47.64
1414344600.0,47.63
1414345500.0,47.63
1414346400.0,47.62
1414347300.0,47.62
1414348200.0,47.63
1414368000.0,47.59
1414368900.0,47.6
1414369800.0,47.6
1414370700.0,47.59
1414371600.0,47.59
1414372500.0,47.6
1414373400.0,47.59
1414374300.0,47.6
1414375200.0,47.6
1414376100.0,47.6
1414377000.0,47.59
1414377900.0,47.6
1414378800.0,47.6
1414379700.0,47.6
1414380600.0,47.6
1414381500.0,47.6
1414382400.0,47.6
1414383300.0,47.6
1414384200.0,47.6
1414385100.0,47.6
1414386000.0,47.6
1414386900.0,47.6
1414387800.0,47.6
1414388700.0,47.61
1414389600.0,47.6
1414390500.0,47.6
1414391400.0,47.61
1414392300.0,47.61
1414393200.0,47.61
1414394100.0,47.62
1414395000.0,47.61
1414395900.0,47.61
1414396800.0,47.6
1414397700.0,47.6
1414398600.0,47.61
1414399500.0,47.6
1414400400.0,47.6
1414401300.0,47.59
1414402200.0,47.59
1414403100.0,47.57
1414404000.0,47.59
1414404900.0,47.6
1414405800.0,47.6
1414406700.0,47.59
1414407600.0,47.58
1414408500.0,47.59
1414409400.0,47.58
1414410300.0,47.58
1414349100.0,47.63
1414350000.0,47.63
1414350900.0,47.63
1414351800.0,47.63
1414352700.0,47.62
1414353600.0,47.62
1414354500.0,47.62
1414355400.0,47.62
1414356300.0,47.62
1414357200.0,47.61
1414358100.0,47.61
1414359000.0,47.61
1414359900.0,47.61
1414360800.0,47.61
1414361700.0,47.61
1414362600.0,47.6
1414363500.0,47.6
1414364400.0,47.6
1414365300.0,47.6
1414366200.0,47.6
1414367100.0,47.6
1414411200.0,47.58
1414412100.0,47.57
1414413000.0,47.58
1414413900.0,47.58
1414414800.0,47.58
1414415700.0,47.54
1414416600.0,47.58
1414417500.0,47.57
1414418400.0,47.57
1414419300.0,47.55
1414420200.0,47.57
1414421100.0,47.57
1414422000.0,47.56
1414422900.0,47.54
1414423800.0,47.55
1414424700.0,47.51
1414425600.0,47.47
1414426500.0,47.47
1414427400.0,47.47
1414428300.0,47.44
1414429200.0,47.43
1414430100.0,47.46
1414431000.0,47.45
1414431900.0,47.45
1414432800.0,47.44
1414433700.0,47.43
1414434600.0,47.41
1414435500.0,47.4
1414436400.0,47.41
1414437300.0,47.4
1414438200.0,47.34
1414439100.0,47.26
1414440000.0,47.23
1414440900.0,47.29
1414441800.0,47.32
1414442700.0,47.33
1414443600.0,47.35
1414444500.0,47.36
1414445400.0,47.37
1414446300.0,47.37
1414447200.0,47.37
1414448100.0,47.37
1414449000.0,47.37
1414449900.0,47.36
1414450800.0,47.36
1414451700.0,47.36
1414452600.0,47.36
1414453500.0,47.35
1414454400.0,47.35
1414455300.0,47.35
1414456200.0,47.35
1414457100.0,47.35
1414458000.0,47.34
1414458900.0,47.35
1414459800.0,47.35
1414460700.0,47.35
1414461600.0,47.35
1414462500.0,47.35
1414463400.0,47.35
1414464300.0,47.34
1414465200.0,47.34
1414466100.0,47.34
1414467000.0,47.34
1414467900.0,47.34
1414468800.0,47.34
1414469700.0,47.34
1414470600.0,47.33
1414471500.0,47.33
1414472400.0,47.32
1414473300.0,47.32
1414474200.0,47.32
1414475100.0,47.32
1414476000.0,47.32
1414476900.0,47.31
1414477800.0,47.31
1414478700.0,47.31
1414479600.0,47.3
1414480500.0,47.31
1414481400.0,47.31
1414482300.0,47.31
1414483200.0,47.3
1414484100.0,47.31
1414485000.0,47.31
1414485900.0,47.31
1414486800.0,47.31
1414487700.0,47.31
1414488600.0,47.31
1414489500.0,47.31
1414490400.0,47.36
1414491300.0,47.4
1414492200.0,47.41
1414493100.0,47.44
1414494000.0,47.46
1414494900.0,47.46
1414495800.0,47.46
1414496700.0,47.47
1414497600.0,47.47
1414498500.0,47.48
1414499400.0,47.47
1414500300.0,47.47
1414501200.0,47.47
1414502100.0,47.46
1414503000.0,47.46
1414503900.0,47.46
1414504800.0,47.45
1414505700.0,47.45
1414506600.0,47.45
1414507500.0,47.45
1414508400.0,47.44
1414509300.0,47.44
1414510200.0,47.41
1414511100.0,47.42
1414512000.0,47.41
1414512900.0,47.37
1414513800.0,47.37
1414514700.0,47.37
1414515600.0,47.34
1414516500.0,47.31
1414517400.0,47.29
1414518300.0,47.22
1414519200.0,47.26
1414520100.0,47.27
1414521000.0,47.27
1414521900.0,47.28
1414522800.0,47.26
1414523700.0,47.25
1414524600.0,47.26
1414525500.0,47.25
1414526400.0,47.25
1414527300.0,47.24
1414528200.0,47.23
1414529100.0,47.23
1414530000.0,47.24
1414530900.0,47.23
1414531800.0,47.22
1414532700.0,47.23
1414533600.0,47.22
1414534500.0,47.21
1414535400.0,47.22
1414536300.0,47.2
1414537200.0,47.22
1414538100.0,47.22
1414539000.0,47.22
1414539900.0,47.21
1414540800.0,47.22
1414541700.0,47.21
1414542600.0,47.21
1414543500.0,47.21
1414544400.0,47.21
1414545300.0,47.21
1414546200.0,47.21
1414547100.0,47.21
1414548000.0,47.18
1414548900.0,47.2
1414549800.0,47.21
1414550700.0,47.2
1414551600.0,47.2
1414552500.0,47.2
1414553400.0,47.2
1414554300.0,47.18
1414555200.0,47.2
1414556100.0,47.2
1414557000.0,47.2
1414557900.0,47.2
1414558800.0,47.2
1414559700.0,47.2
1414560600.0,47.2
1414561500.0,47.2
1414562400.0,47.2
1414563300.0,47.21
1414564200.0,47.21
1414565100.0,47.21
1414566000.0,47.2
1414566900.0,47.2
1414567800.0,47.21
1414568700.0,47.2
1414569600.0,47.2
1414570500.0,47.2
1414571400.0,47.21
1414572300.0,47.2
1414573200.0,47.2
1414574100.0,47.19
1414575000.0,47.2
1414575900.0,47.2
1414576800.0,47.2
1414577700.0,47.2
1414578600.0,47.2
1414579500.0,47.2
1414580400.0,47.19
1414581300.0,47.19
1414582200.0,47.2
1414583100.0,47.19
1414584000.0,47.19
1414584900.0,47.19
1414585800.0,47.2
1414586700.0,47.2
1414587600.0,47.21
1414588500.0,47.21
1414589400.0,47.21
1414590300.0,47.22
1414591200.0,47.22
1414592100.0,47.21
1414593000.0,47.22
1414593900.0,47.21
1414594800.0,47.21
1414595700.0,47.21
1414596600.0,47.21
1414597500.0,47.21
1414598400.0,47.22
1414599300.0,47.22
1414600200.0,47.24
1414601100.0,47.24
1414602000.0,47.24
1414602900.0,47.24
1414603800.0,47.24
1414604700.0,47.24
1414605600.0,47.24
1414606500.0,47.24
1414607400.0,47.24
1414608300.0,47.24
1414609200.0,47.23
1414610100.0,47.24
1414611000.0,47.23
1414611900.0,47.23
1414612800.0,47.22
1414613700.0,47.23
1414614600.0,47.23
1414615500.0,47.23
1414616400.0,47.23
1414617300.0,47.22
1414618200.0,47.22
1414619100.0,47.21
1414620000.0,47.21
1414620900.0,47.2
1414621800.0,47.2
1414622700.0,47.2
1414623600.0,47.2
1414624500.0,47.2
1414625400.0,47.2
1414626300.0,47.2
1414627200.0,47.2
1414628100.0,47.2
1414629000.0,47.2
1414629900.0,47.2
1414630800.0,47.2
1414631700.0,47.2
1414632600.0,47.2
1414633500.0,47.2
1414634400.0,47.21
1414635300.0,47.2
1414636200.0,47.21
1414637100.0,47.2
1414638000.0,47.21
1414638900.0,47.21
1414639800.0,47.2
1414640700.0,47.21
1414641600.0,47.21
1414642500.0,47.21
1414643400.0,47.21
1414644300.0,47.21
1414645200.0,47.22
1414646100.0,47.22
1414647000.0,47.22
1414647900.0,47.22
1414648800.0,47.22
1414649700.0,47.22
1414650600.0,47.23
1414651500.0,47.23
1414652400.0,47.23
1414653300.0,47.23
1414654200.0,47.23
1414655100.0,47.23
1414656000.0,47.24
1414656900.0,47.24
1414657800.0,47.24
1414658700.0,47.24
1414659600.0,47.25
1414660500.0,47.24
1414661400.0,47.25
1414662300.0,47.24
1414663200.0,47.24
