time (epoch),weight (kg)
1433376000.0,0.0
1433376900.0,0.0
1433377800.0,0.0
1433378700.0,0.0
1433379600.0,0.0
1433380500.0,0.0
1433381400.0,0.0
1433382300.0,0.0
1433383200.0,0.0
1433384100.0,0.0
1433385000.0,0.0
1433385900.0,0.0
1433386800.0,0.0
1433387700.0,0.0
1433388600.0,0.0
1433389500.0,0.0
1433390400.0,0.0
1433391300.0,0.0
1433392200.0,0.0
1433393100.0,0.0
1433394000.0,0.0
1433394900.0,0.0
1433395800.0,0.0
1433396700.0,0.0
1433397600.0,0.0
1433398500.0,0.0
1433399400.0,0.0
1433400300.0,0.0
1433401200.0,0.0
1433402100.0,0.0
1433403000.0,0.0
1433403900.0,0.0
1433404800.0,0.0
1433405700.0,0.0
1433406600.0,0.0
1433407500.0,0.0
1433408400.0,0.0
1433409300.0,0.0
1433410200.0,0.0
1433411100.0,0.0
1433412000.0,0.0
1433412900.0,0.0
1433413800.0,0.0
1433414700.0,0.0
1433415600.0,0.0
1433416500.0,0.0
1433417400.0,0.0
1433418300.0,0.0
1433419200.0,0.0
1433420100.0,0.0
1433421000.0,0.0
1433421900.0,0.0
1433422800.0,0.0
1433423700.0,0.0
1433424600.0,0.0
1433425500.0,0.0
1433426400.0,0.0
1433427300.0,0.0
1433428200.0,0.0
1433429100.0,0.0
1433430000.0,0.0
1433430900.0,0.0
1433431800.0,0.0
1433432700.0,0.0
1433433600.0,0.0
1433434500.0,0.0
1433435400.0,0.0
1433436300.0,0.0
1433437200.0,0.0
1433438100.0,0.0
1433439000.0,0.0
1433439900.0,0.0
1433440800.0,0.0
1433441700.0,0.0
1433442600.0,0.0
1433443500.0,0.0
1433444400.0,0.0
1433445300.0,0.0
1433446200.0,0.0
1433447100.0,0.0
1433448000.0,0.0
1433448900.0,0.0
1433449800.0,0.0
1433450700.0,0.0
1433451600.0,0.0
1433452500.0,0.0
1433453400.0,0.0
1433454300.0,0.0
1433455200.0,0.0
1433456100.0,0.0
1433457000.0,0.0
1433457900.0,0.0
1433458800.0,0.0
1433459700.0,0.0
1433460600.0,0.0
1433461500.0,0.0
1433462400.0,0.0
1433463300.0,0.0
1433464200.0,0.0
1433465100.0,0.0
1433466000.0,0.0
1433466900.0,0.0
1433467800.0,0.0
1433468700.0,0.0
1433469600.0,0.0
1433470500.0,0.0
1433471400.0,0.0
1433472300.0,0.0
1433473200.0,0.0
1433474100.0,0.0
1433475000.0,0.0
1433475900.0,0.0
1433476800.0,0.0
1433477700.0,0.0
1433478600.0,0.0
1433479500.0,0.0
1433480400.0,0.0
1433481300.0,0.0
1433482200.0,0.0
1433483100.0,0.0
1433484000.0,0.0
1433484900.0,0.0
1433485800.0,0.0
1433486700.0,0.0
1433487600.0,0.0
1433488500.0,0.0
1433489400.0,0.0
1433490300.0,0.0
1433491200.0,0.0
1433492100.0,0.0
1433493000.0,0.0
1433493900.0,0.0
1433494800.0,0.0
1433495700.0,0.0
1433496600.0,0.0
1433497500.0,0.0
1433498400.0,0.0
1433499300.0,0.0
1433500200.0,0.0
1433501100.0,0.0
1433502000.0,0.0
1433502900.0,0.0
1433503800.0,0.0
1433504700.0,0.0
1433505600.0,0.0
1433506500.0,0.0
1433507400.0,0.0
1433508300.0,0.0
1433509200.0,0.0
1433510100.0,0.0
1433511000.0,0.0
1433511900.0,0.0
1433512800.0,0.0
1433513700.0,0.0
1433514600.0,0.0
1433515500.0,0.0
1433516400.0,0.0
1433517300.0,0.0
1433518200.0,0.0
1433519100.0,0.0
1433520000.0,0.0
1433520900.0,0.0
1433521800.0,0.0
1433522700.0,0.0
1433523600.0,0.0
1433524500.0,0.0
1433525400.0,0.0
1433526300.0,0.0
1433527200.0,0.0
1433528100.0,0.0
1433529000.0,0.0
1433529900.0,0.0
1433530800.0,0.0
1433531700.0,0.0
1433532600.0,0.0
1433533500.0,0.0
1433534400.0,0.0
1433535300.0,0.0
1433536200.0,0.0
1433537100.0,0.0
1433538000.0,0.0
1433538900.0,0.0
1433539800.0,0.0
1433540700.0,0.0
1433541600.0,0.0
1433542500.0,0.0
1433543400.0,0.0
1433544300.0,0.0
1433545200.0,0.0
1433546100.0,0.0
1433547000.0,0.0
1433547900.0,0.0
1433548800.0,0.0
1433549700.0,0.0
1433550600.0,0.0
1433551500.0,0.0
1433552400.0,0.0
1433553300.0,0.0
1433554200.0,0.0
1433555100.0,0.0
1433556000.0,0.0
1433556900.0,0.0
1433557800.0,0.0
1433558700.0,0.0
1433559600.0,0.0
1433560500.0,0.0
1433561400.0,0.0
1433562300.0,0.0
1433563200.0,0.0
1433564100.0,0.0
1433565000.0,0.0
1433565900.0,0.0
1433566800.0,0.0
1433567700.0,0.0
1433568600.0,0.0
1433569500.0,0.0
1433570400.0,0.0
1433571300.0,0.0
1433572200.0,0.0
1433573100.0,0.0
1433574000.0,0.0
1433574900.0,0.0
1433575800.0,0.0
1433576700.0,0.0
1433577600.0,0.0
1433578500.0,0.0
1433579400.0,0.0
1433580300.0,0.0
1433581200.0,0.0
1433582100.0,0.0
1433583000.0,0.0
1433583900.0,0.0
1433584800.0,0.0
1433585700.0,0.0
1433586600.0,0.0
1433587500.0,0.0
1433588400.0,0.0
1433589300.0,0.0
1433590200.0,0.0
1433591100.0,0.0
1433592000.0,0.0
1433592900.0,0.0
1433593800.0,0.0
1433594700.0,0.0
1433595600.0,0.0
1433596500.0,0.0
1433597400.0,0.0
1433598300.0,0.0
1433599200.0,0.0
1433600100.0,0.0
1433601000.0,0.0
1433601900.0,0.0
1433602800.0,0.0
1433603700.0,0.0
1433604600.0,0.0
1433605500.0,0.0
1433606400.0,0.0
1433607300.0,0.0
1433608200.0,0.0
1433609100.0,0.0
1433610000.0,0.0
1433610900.0,0.0
1433611800.0,0.0
1433612700.0,0.0
1433613600.0,0.0
1433614500.0,0.0
1433615400.0,0.0
1433616300.0,0.0
1433617200.0,0.0
1433618100.0,0.0
1433619000.0,0.0
1433619900.0,0.0
1433620800.0,0.0
1433621700.0,0.0
